title,txt,rating,revdate
Cleans and drys great!,"We purchased our dishwasher two months ago.  The dishes come out clean and dry,  except for the plastic which is understandable. We have several investment properties and had seven dishwashers over the past 10 years.   This by far has been the best dishwasher that we've had.  I highly recommend this model. [This review was collected as part of a promotion.]",100,"March 22, 2020"
What an upgrade,"We replaced our whirlpool with a Bosch 500 series with the auto air. Holy smokes what a difference, not only does it clean the dishes better but it also dries them better and is so quiet we can hardly tell it's running! My only regret is that it took so long to buy one! I highly recommend to anyone of the fence, take the plunge! The online reviews says there the best! And they are! [This review was collected as part of a promotion.]",100,"March 14, 2020"
Clever design,"We love this dishwasher.  There were several features that we thought were gimmicky when we bought it, but it got such good reviews for being quiet that we didn't care.  We were wrong about all of those features.

The utensil basket is amazing.  It has dozens of spots for silverware.  Way more than our family of four can fill in one load.  After a few uses of the dishwasher, I realized I hadn't had to clean any spoons after the dishwasher ran.  You know how there's always a spoon that has junk on it when you're putting the silverware away, well not in this dishwasher.

We also thought the third rack wouldn't be terribly useful.  Again, wrong!  It's great.  It fits all of our long utensils, except the ladle.  Very helpful and great if you have a party.  We love this dishwasher. [This review was collected as part of a promotion.]",100,"March 13, 2020"
Nothing a cheaper dishwasher would not do better,"Gave up a cheap builder’s grade GE for this but would gladly go back to my cheap one. There is no room to put anything. We still end up handwashing half our dishes, so what is the point. It also retains a bad smell no matter what you do. The racks are not sturdy, and we could not install the braces to keep the didhwasher from tipping. Literally worst d/w I have ever had.",20,"March 13, 2020"
"We have had this model for a month. Delivery was on time, fast, and could not have asked for a b...","We have had this model for a month. Delivery was on time, fast, and could not have asked for a better experience. We had it running 2 days later and it's a world of difference from the 1977 Kitchen Aid we had. Easy to change settings, ridiculously quiet, and everything is spotlessly clean. Love the auto open feature. Completely thrilled with this purchase.",100,"March 10, 2020"
"We purchased the Bosch 500 Series to replace our old dishwasher. Since we have hard water, we res...","We purchased the Bosch 500 Series to replace our old dishwasher. Since we have hard water, we researched and found the Bosch brand rated higher for hard water.
The Home Depot delivery went smoothly. We did purchase the dishwasher installation kit also. Everything was there. No missing parts. My husband installed everything without any issues or problems. 
It's been a month and I couldn't be happier with our Bosch dishwasher. We are truly amazed at how quiet it is! So quiet, when we first ran it we thought it wasn't working. I do suggest you use the products they recommend. They are a little pricier, but even your baked on casserole dish will come out clean. Also, read and follow the manual regarding how to load and use your settings. Sounds silly, but it's important. All dishwashers are not the same.
Overall, we recommend the Bosch 500 Series.",100,"March 3, 2020"
Bosch Dishwasher 500 series,"The 1st time using this dishwasher I was unsure as to whether or not it was running.  Is the only way I knew it was on and running was when the drain cycle started. It washes dishes efficiently and very well.
 My only concern is when it it is done with the cycle that the dishes are not dry. [This review was collected as part of a promotion.]",100,"February 27, 2020"
Very easy installation.  It's quiet when it runs.  It's got a lot of great options and it looks f...,Very easy installation.  It's quiet when it runs.  It's got a lot of great options and it looks fantastic.  We love ours and highly recommend this dishwasher.,100,"February 13, 2020"
Always have enjoyed bosh products.,"As a carpenter I've alway enjoyed the quality of bosh tools. So it was a no brainer picking bosh for our dishwaher. Easy to install. The One thing about that was it has a plug in cord, so I had to put in an electrical box. 
The dishwasher does have a slight smell to it after you run a load not sure what it is if it's the plastic from the trays, I thought it was like a new car smell that would eventually go away, but still has not. 
It does get the dishes sparkling clean and saves my hands from getting dried out. 
Overall we love our bosh dishwasher! [This review was collected as part of a promotion.]",80,"February 6, 2020"
Wonderful!,"My old Kitchen Aid dishwasher stopped working 2 days before Thanksgiving after 19 years of faithful service. With family and friends coming over for dinner on Thanksgiving I was a bit panicked to say the least. I tried to get the old dishwasher repaired but they no longer made the circuit board. Fortunately the repair man said if I found a dishwasher he could install it on Wednesday, the day before Thanksgiving. I asked him which brand he would buy and he replied ""Bosch"". After checking the local stores I found one and brought it home. After installation, I must say this thing runs like a dream. While my old Kitchen Aid was very reliable and did a fine job, it was loud. The Bosch is so quiet you can hardly tell if it's on. The dishes come out spotless and I love its versatility. The shelves are also very easy to adjust. Large wine glasses are no problem and the third rack is a nice bonus. If it lasts anywhere as long as my last dishwasher I'll have to say I bought a winner! [This review was collected as part of a promotion.]",100,"January 29, 2020"
It really gets dishes with baked on food clean! Had a meatloaf pan and a lasagna pan i just rinse...,"It really gets dishes with baked on food clean! Had a meatloaf pan and a lasagna pan i just rinsed out the big pieces of food and stick it in there, no soaking, came out sparkling clean! So quiet too. I love the third rack, but the best part is the adjustable 2nd rack! Took a little getting used to with the loading from my last dishwasher, but I love it.",100,"January 29, 2020"
"Well-engineered, made in USA.","Well-engineered, made in USA.",100,"January 25, 2020"
My New Buddy,"Wow, This Dishwasher is everything I ever needed. My previous, cheaper model dishwashers, did not clean as well as this one cleans. So simple, and easy to use. Holds a lot of dishes and utensils, and cleans them extremely well. Also, I have to mention how quiet this dishwasher is, during the entire cycle. Thanks to the indicator red light, I know when it is working, and when it is finished. Thank you Bosch... You guys did a great job. This Dishwasher makes it easier on me, and gives me more time to do other projects. [This review was collected as part of a promotion.]",100,"January 1, 2020"
Bosch,Great dishwasher.  Does a great job washing the dishes and is very quiet [This review was collected as part of a promotion.],100,"December 31, 2019"
